"country","date","confirmed","death","fatality_rate"
"Angola",2020-03-31,0,0,28.57
"Angola",2020-04-01,1,0,25
"Angola",2020-04-02,0,0,25
"Angola",2020-04-03,0,0,25
"Angola",2020-04-04,2,0,20
"Angola",2020-04-05,4,0,14.29
"Angola",2020-04-06,2,0,12.5
"Angola",2020-04-07,1,0,11.76
"Angola",2020-04-08,2,0,10.53
"Angola",2020-04-09,0,0,10.53
"Angola",2020-04-10,0,0,10.53
"Angola",2020-04-11,0,0,10.53
"Angola",2020-04-12,0,0,10.53
"Angola",2020-04-13,0,0,10.53
"Angola",2020-04-14,0,0,10.53
"Angola",2020-04-15,0,0,10.53
"Angola",2020-04-16,0,0,10.53
"Angola",2020-04-17,0,0,10.53
"Angola",2020-04-18,5,0,8.33
"Angola",2020-04-19,0,0,8.33
"Angola",2020-04-20,0,0,8.33
"Angola",2020-04-21,0,0,8.33
"Angola",2020-04-22,1,0,8
"Angola",2020-04-23,0,0,8
"Angola",2020-04-24,0,0,8
"Angola",2020-04-25,0,0,8
"Angola",2020-04-26,1,0,7.69
"Angola",2020-04-27,1,0,7.41
"Angola",2020-04-28,0,0,7.41
"Angola",2020-04-29,0,0,7.41
"Angola",2020-04-30,0,0,7.41
"Angola",2020-05-01,3,0,6.67
"Angola",2020-05-02,5,0,5.71
"Angola",2020-05-03,0,0,5.71
"Angola",2020-05-04,0,0,5.71
"Angola",2020-05-05,1,0,5.56
"Angola",2020-05-06,0,0,5.56
"Angola",2020-05-07,0,0,5.56
"Angola",2020-05-08,7,0,4.65
"Angola",2020-05-09,0,0,4.65
"Angola",2020-05-10,2,0,4.44
"Angola",2020-05-11,0,0,4.44
"Angola",2020-05-12,0,0,4.44
"Angola",2020-05-13,0,0,4.44
"Angola",2020-05-14,3,0,4.17
"Angola",2020-05-15,0,0,4.17
"Angola",2020-05-16,0,0,4.17
"Angola",2020-05-17,0,0,4.17
"Angola",2020-05-18,2,1,6
"Angola",2020-05-19,2,0,5.77
"Angola",2020-05-20,0,0,5.77
"Angola",2020-05-21,6,0,5.17
"Angola",2020-05-22,2,0,5
"Angola",2020-05-23,1,1,6.56
"Angola",2020-05-24,8,0,5.8
"Angola",2020-05-25,1,0,5.71
"Angola",2020-05-26,0,0,5.71
"Angola",2020-05-27,1,0,5.63
"Angola",2020-05-28,3,0,5.41
"Angola",2020-05-29,7,0,4.94
"Angola",2020-05-30,3,0,4.76
"Angola",2020-05-31,2,0,4.65
"Angola",2020-06-01,0,0,4.65
"Angola",2020-06-02,0,0,4.65
"Angola",2020-06-03,0,0,4.65
"Angola",2020-06-04,0,0,4.65
"Angola",2020-06-05,0,0,4.65
"Angola",2020-06-06,2,0,4.55
"Angola",2020-06-07,3,0,4.4
"Angola",2020-06-08,1,0,4.35
"Angola",2020-06-09,4,0,4.17
"Angola",2020-06-10,17,0,3.54
"Angola",2020-06-11,5,1,4.24
"Angola",2020-06-12,12,0,3.85
"Angola",2020-06-13,8,1,4.35
"Angola",2020-06-14,2,0,4.29
"Angola",2020-06-15,2,0,4.23
"Angola",2020-06-16,6,0,4.05
"Angola",2020-06-17,7,1,4.52
"Angola",2020-06-18,11,1,4.82
"Angola",2020-06-19,6,0,4.65
"Angola",2020-06-20,4,1,5.11
"Angola",2020-06-21,7,0,4.92
"Angola",2020-06-22,3,1,5.38
"Angola",2020-06-23,3,0,5.29
"Angola",2020-06-24,8,0,5.08
"Angola",2020-06-25,15,0,4.72
"Angola",2020-06-26,0,0,4.72
"Angola",2020-06-27,47,0,3.86
"Angola",2020-06-28,8,1,4.12
"Angola",2020-06-29,9,0,3.99
"Angola",2020-06-30,8,2,4.58
"Angola",2020-07-01,7,2,5.15
"Angola",2020-07-02,24,2,5.4
"Angola",2020-07-03,13,1,5.49
"Angola",2020-07-04,18,1,5.49
"Botswana",2020-01-22,0,0,NA
"Botswana",2020-01-23,0,0,NA
"Botswana",2020-01-24,0,0,NA
"Botswana",2020-01-25,0,0,NA
"Botswana",2020-01-26,0,0,NA
"Botswana",2020-01-27,0,0,NA
"Botswana",2020-01-28,0,0,NA
"Botswana",2020-01-29,0,0,NA
"Botswana",2020-01-30,0,0,NA
"Botswana",2020-01-31,0,0,NA
"Botswana",2020-02-01,0,0,NA
"Botswana",2020-02-02,0,0,NA
"Botswana",2020-02-03,0,0,NA
"Botswana",2020-02-04,0,0,NA
"Botswana",2020-02-05,0,0,NA
"Botswana",2020-02-06,0,0,NA
"Botswana",2020-02-07,0,0,NA
"Botswana",2020-02-08,0,0,NA
"Botswana",2020-02-09,0,0,NA
"Botswana",2020-02-10,0,0,NA
"Botswana",2020-02-11,0,0,NA
"Botswana",2020-02-12,0,0,NA
"Botswana",2020-02-13,0,0,NA
"Botswana",2020-02-14,0,0,NA
"Botswana",2020-02-15,0,0,NA
"Botswana",2020-02-16,0,0,NA
"Botswana",2020-02-17,0,0,NA
"Botswana",2020-02-18,0,0,NA
"Botswana",2020-02-19,0,0,NA
"Botswana",2020-02-20,0,0,NA
"Botswana",2020-02-21,0,0,NA
"Botswana",2020-02-22,0,0,NA
"Botswana",2020-02-23,0,0,NA
"Botswana",2020-02-24,0,0,NA
"Botswana",2020-02-25,0,0,NA
"Botswana",2020-02-26,0,0,NA
"Botswana",2020-02-27,0,0,NA
"Botswana",2020-02-28,0,0,NA
"Botswana",2020-02-29,0,0,NA
"Botswana",2020-03-01,0,0,NA
"Botswana",2020-03-02,0,0,NA
"Botswana",2020-03-03,0,0,NA
"Botswana",2020-03-04,0,0,NA
"Botswana",2020-03-05,0,0,NA
"Botswana",2020-03-06,0,0,NA
"Botswana",2020-03-07,0,0,NA
"Botswana",2020-03-08,0,0,NA
"Botswana",2020-03-09,0,0,NA
"Botswana",2020-03-10,0,0,NA
"Botswana",2020-03-11,0,0,NA
"Botswana",2020-03-12,0,0,NA
"Botswana",2020-03-13,0,0,NA
"Botswana",2020-03-14,0,0,NA
"Botswana",2020-03-15,0,0,NA
"Botswana",2020-03-16,0,0,NA
"Botswana",2020-03-17,0,0,NA
"Botswana",2020-03-18,0,0,NA
"Botswana",2020-03-19,0,0,NA
"Botswana",2020-03-20,0,0,NA
"Botswana",2020-03-21,0,0,NA
"Botswana",2020-03-22,0,0,NA
"Botswana",2020-03-23,0,0,NA
"Botswana",2020-03-24,0,0,NA
"Botswana",2020-03-25,0,0,NA
"Botswana",2020-03-26,0,0,NA
"Botswana",2020-03-27,0,0,NA
"Botswana",2020-03-28,0,0,NA
"Botswana",2020-03-29,0,0,NA
"Botswana",2020-03-30,3,0,0
"Botswana",2020-03-31,1,1,25
"Botswana",2020-04-01,0,0,25
"Botswana",2020-04-02,0,0,25
"Botswana",2020-04-03,0,0,25
"Botswana",2020-04-04,0,0,25
"Botswana",2020-04-05,2,0,16.67
"Botswana",2020-04-06,0,0,16.67
"Botswana",2020-04-07,0,0,16.67
"Botswana",2020-04-08,0,0,16.67
"Botswana",2020-04-09,7,0,7.69
"Botswana",2020-04-10,0,0,7.69
"Botswana",2020-04-11,0,0,7.69
"Botswana",2020-04-12,0,0,7.69
"Botswana",2020-04-13,0,0,7.69
"Botswana",2020-04-14,0,0,7.69
"Botswana",2020-04-15,0,0,7.69
"Botswana",2020-04-16,2,0,6.67
"Botswana",2020-04-17,0,0,6.67
"Botswana",2020-04-18,0,0,6.67
"Botswana",2020-04-19,5,0,5
"Botswana",2020-04-20,0,0,5
"Botswana",2020-04-21,0,0,5
"Botswana",2020-04-22,2,0,4.55
"Botswana",2020-04-23,0,0,4.55
"Botswana",2020-04-24,0,0,4.55
"Botswana",2020-04-25,0,0,4.55
"Botswana",2020-04-26,0,0,4.55
"Botswana",2020-04-27,0,0,4.55
"Botswana",2020-04-28,1,0,4.35
"Botswana",2020-04-29,0,0,4.35
"Botswana",2020-04-30,0,0,4.35
"Botswana",2020-05-01,0,0,4.35
"Botswana",2020-05-02,0,0,4.35
"Botswana",2020-05-03,0,0,4.35
"Botswana",2020-05-04,0,0,4.35
"Botswana",2020-05-05,0,0,4.35
"Botswana",2020-05-06,0,0,4.35
"Botswana",2020-05-07,0,0,4.35
"Botswana",2020-05-08,0,0,4.35
"Botswana",2020-05-09,0,0,4.35
"Botswana",2020-05-10,0,0,4.35
"Botswana",2020-05-11,1,0,4.17
"Botswana",2020-05-12,0,0,4.17
"Botswana",2020-05-13,0,0,4.17
"Botswana",2020-05-14,0,0,4.17
"Botswana",2020-05-15,0,0,4.17
"Botswana",2020-05-16,0,0,4.17
"Botswana",2020-05-17,1,0,4
"Botswana",2020-05-18,0,0,4
"Botswana",2020-05-19,0,0,4
"Botswana",2020-05-20,0,0,4
"Botswana",2020-05-21,4,0,3.45
"Botswana",2020-05-22,1,0,3.33
"Botswana",2020-05-23,0,0,3.33
"Botswana",2020-05-24,5,0,2.86
"Botswana",2020-05-25,0,0,2.86
"Botswana",2020-05-26,0,0,2.86
"Botswana",2020-05-27,0,0,2.86
"Botswana",2020-05-28,0,0,2.86
"Botswana",2020-05-29,0,0,2.86
"Botswana",2020-05-30,0,0,2.86
"Botswana",2020-05-31,0,0,2.86
"Botswana",2020-06-01,3,0,2.63
"Botswana",2020-06-02,2,0,2.5
"Botswana",2020-06-03,0,0,2.5
"Botswana",2020-06-04,0,0,2.5
"Botswana",2020-06-05,0,0,2.5
"Botswana",2020-06-06,0,0,2.5
"Botswana",2020-06-07,0,0,2.5
"Botswana",2020-06-08,2,0,2.38
"Botswana",2020-06-09,0,0,2.38
"Botswana",2020-06-10,6,0,2.08
"Botswana",2020-06-11,0,0,2.08
"Botswana",2020-06-12,0,0,2.08
"Botswana",2020-06-13,12,0,1.67
"Botswana",2020-06-14,0,0,1.67
"Botswana",2020-06-15,0,0,1.67
"Botswana",2020-06-16,0,0,1.67
"Botswana",2020-06-17,19,0,1.27
"Botswana",2020-06-18,0,0,1.27
"Botswana",2020-06-19,10,0,1.12
"Botswana",2020-06-20,0,0,1.12
"Botswana",2020-06-21,0,0,1.12
"Botswana",2020-06-22,0,0,1.12
"Botswana",2020-06-23,0,0,1.12
"Botswana",2020-06-24,3,0,1.09
"Botswana",2020-06-25,0,0,1.09
"Botswana",2020-06-26,0,0,1.09
"Botswana",2020-06-27,0,0,1.09
"Botswana",2020-06-28,0,0,1.09
"Botswana",2020-06-29,83,0,0.57
"Botswana",2020-06-30,52,0,0.44
"Botswana",2020-07-01,0,0,0.44
"Botswana",2020-07-02,0,0,0.44
"Botswana",2020-07-03,50,0,0.36
"Botswana",2020-07-04,0,0,0.36
"Eswatini",2020-01-22,0,0,NA
"Eswatini",2020-01-23,0,0,NA
"Eswatini",2020-01-24,0,0,NA
"Eswatini",2020-01-25,0,0,NA
"Eswatini",2020-01-26,0,0,NA
"Eswatini",2020-01-27,0,0,NA
"Eswatini",2020-01-28,0,0,NA
"Eswatini",2020-01-29,0,0,NA
"Eswatini",2020-01-30,0,0,NA
"Eswatini",2020-01-31,0,0,NA
"Eswatini",2020-02-01,0,0,NA
"Eswatini",2020-02-02,0,0,NA
"Eswatini",2020-02-03,0,0,NA
"Eswatini",2020-02-04,0,0,NA
"Eswatini",2020-02-05,0,0,NA
"Eswatini",2020-02-06,0,0,NA
"Eswatini",2020-02-07,0,0,NA
"Eswatini",2020-02-08,0,0,NA
"Eswatini",2020-02-09,0,0,NA
"Eswatini",2020-02-10,0,0,NA
"Eswatini",2020-02-11,0,0,NA
"Eswatini",2020-02-12,0,0,NA
"Eswatini",2020-02-13,0,0,NA
"Eswatini",2020-02-14,0,0,NA
"Eswatini",2020-02-15,0,0,NA
"Eswatini",2020-02-16,0,0,NA
"Eswatini",2020-02-17,0,0,NA
"Eswatini",2020-02-18,0,0,NA
"Eswatini",2020-02-19,0,0,NA
"Eswatini",2020-02-20,0,0,NA
"Eswatini",2020-02-21,0,0,NA
"Eswatini",2020-02-22,0,0,NA
"Eswatini",2020-02-23,0,0,NA
"Eswatini",2020-02-24,0,0,NA
"Eswatini",2020-02-25,0,0,NA
"Eswatini",2020-02-26,0,0,NA
"Eswatini",2020-02-27,0,0,NA
"Eswatini",2020-02-28,0,0,NA
"Eswatini",2020-02-29,0,0,NA
"Eswatini",2020-03-01,0,0,NA
"Eswatini",2020-03-02,0,0,NA
"Eswatini",2020-03-03,0,0,NA
"Eswatini",2020-03-04,0,0,NA
"Eswatini",2020-03-05,0,0,NA
"Eswatini",2020-03-06,0,0,NA
"Eswatini",2020-03-07,0,0,NA
"Eswatini",2020-03-08,0,0,NA
"Eswatini",2020-03-09,0,0,NA
"Eswatini",2020-03-10,0,0,NA
"Eswatini",2020-03-11,0,0,NA
"Eswatini",2020-03-12,0,0,NA
"Eswatini",2020-03-13,0,0,NA
"Eswatini",2020-03-14,1,0,0
"Eswatini",2020-03-15,0,0,0
"Eswatini",2020-03-16,0,0,0
"Eswatini",2020-03-17,0,0,0
"Eswatini",2020-03-18,0,0,0
"Eswatini",2020-03-19,0,0,0
"Eswatini",2020-03-20,0,0,0
"Eswatini",2020-03-21,0,0,0
"Eswatini",2020-03-22,3,0,0
"Eswatini",2020-03-23,0,0,0
"Eswatini",2020-03-24,0,0,0
"Eswatini",2020-03-25,0,0,0
"Eswatini",2020-03-26,2,0,0
"Eswatini",2020-03-27,3,0,0
"Eswatini",2020-03-28,0,0,0
"Eswatini",2020-03-29,0,0,0
"Eswatini",2020-03-30,0,0,0
"Eswatini",2020-03-31,0,0,0
"Eswatini",2020-04-01,0,0,0
"Eswatini",2020-04-02,0,0,0
"Eswatini",2020-04-03,0,0,0
"Eswatini",2020-04-04,0,0,0
"Eswatini",2020-04-05,0,0,0
"Eswatini",2020-04-06,1,0,0
"Eswatini",2020-04-07,0,0,0
"Eswatini",2020-04-08,2,0,0
"Eswatini",2020-04-09,0,0,0
"Eswatini",2020-04-10,0,0,0
"Eswatini",2020-04-11,0,0,0
"Eswatini",2020-04-12,2,0,0
"Eswatini",2020-04-13,1,0,0
"Eswatini",2020-04-14,0,0,0
"Eswatini",2020-04-15,0,0,0
"Eswatini",2020-04-16,1,1,6.25
"Eswatini",2020-04-17,0,0,6.25
"Eswatini",2020-04-18,6,0,4.55
"Eswatini",2020-04-19,0,0,4.55
"Eswatini",2020-04-20,2,0,4.17
"Eswatini",2020-04-21,7,0,3.23
"Eswatini",2020-04-22,0,0,3.23
"Eswatini",2020-04-23,0,0,3.23
"Eswatini",2020-04-24,5,0,2.78
"Eswatini",2020-04-25,20,0,1.79
"Eswatini",2020-04-26,3,0,1.69
"Eswatini",2020-04-27,6,0,1.54
"Eswatini",2020-04-28,6,0,1.41
"Eswatini",2020-04-29,20,0,1.1
"Eswatini",2020-04-30,9,0,1
"Eswatini",2020-05-01,6,0,0.94
"Eswatini",2020-05-02,2,0,0.93
"Eswatini",2020-05-03,4,0,0.89
"Eswatini",2020-05-04,4,0,0.86
"Eswatini",2020-05-05,3,0,0.84
"Eswatini",2020-05-06,4,1,1.63
"Eswatini",2020-05-07,30,0,1.31
"Eswatini",2020-05-08,6,0,1.26
"Eswatini",2020-05-09,4,0,1.23
"Eswatini",2020-05-10,9,0,1.16
"Eswatini",2020-05-11,3,0,1.14
"Eswatini",2020-05-12,9,0,1.09
"Eswatini",2020-05-13,3,0,1.07
"Eswatini",2020-05-14,0,0,1.07
"Eswatini",2020-05-15,3,0,1.05
"Eswatini",2020-05-16,12,0,0.99
"Eswatini",2020-05-17,1,0,0.99
"Eswatini",2020-05-18,2,0,0.98
"Eswatini",2020-05-19,3,0,0.96
"Eswatini",2020-05-20,9,0,0.92
"Eswatini",2020-05-21,3,0,0.91
"Eswatini",2020-05-22,5,0,0.89
"Eswatini",2020-05-23,13,0,0.84
"Eswatini",2020-05-24,12,0,0.8
"Eswatini",2020-05-25,6,0,0.78
"Eswatini",2020-05-26,5,0,0.77
"Eswatini",2020-05-27,11,0,0.74
"Eswatini",2020-05-28,7,0,0.72
"Eswatini",2020-05-29,0,0,0.72
"Eswatini",2020-05-30,4,0,0.71
"Eswatini",2020-05-31,2,0,0.7
"Eswatini",2020-06-01,8,1,1.02
"Eswatini",2020-06-02,1,0,1.02
"Eswatini",2020-06-03,1,0,1.02
"Eswatini",2020-06-04,5,0,1
"Eswatini",2020-06-05,5,0,0.98
"Eswatini",2020-06-06,17,0,0.93
"Eswatini",2020-06-07,11,0,0.9
"Eswatini",2020-06-08,7,0,0.88
"Eswatini",2020-06-09,31,0,0.81
"Eswatini",2020-06-10,27,0,0.75
"Eswatini",2020-06-11,51,0,0.67
"Eswatini",2020-06-12,23,0,0.64
"Eswatini",2020-06-13,14,0,0.62
"Eswatini",2020-06-14,4,1,0.82
"Eswatini",2020-06-15,16,0,0.79
"Eswatini",2020-06-16,14,0,0.77
"Eswatini",2020-06-17,43,0,0.71
"Eswatini",2020-06-18,23,0,0.68
"Eswatini",2020-06-19,37,0,0.64
"Eswatini",2020-06-20,4,1,0.8
"Eswatini",2020-06-21,8,0,0.79
"Eswatini",2020-06-22,8,1,0.93
"Eswatini",2020-06-23,31,1,1.04
"Eswatini",2020-06-24,16,0,1.01
"Eswatini",2020-06-25,16,1,1.13
"Eswatini",2020-06-26,22,0,1.1
"Eswatini",2020-06-27,17,0,1.07
"Eswatini",2020-06-28,36,3,1.41
"Eswatini",2020-06-29,14,0,1.38
"Eswatini",2020-06-30,17,0,1.35
"Eswatini",2020-07-01,28,0,1.31
"Eswatini",2020-07-02,33,0,1.26
"Eswatini",2020-07-03,36,2,1.43
"Eswatini",2020-07-04,45,0,1.36
"Lesotho",2020-01-22,0,0,NA
"Lesotho",2020-01-23,0,0,NA
"Lesotho",2020-01-24,0,0,NA
"Lesotho",2020-01-25,0,0,NA
"Lesotho",2020-01-26,0,0,NA
"Lesotho",2020-01-27,0,0,NA
"Lesotho",2020-01-28,0,0,NA
"Lesotho",2020-01-29,0,0,NA
"Lesotho",2020-01-30,0,0,NA
"Lesotho",2020-01-31,0,0,NA
"Lesotho",2020-02-01,0,0,NA
"Lesotho",2020-02-02,0,0,NA
"Lesotho",2020-02-03,0,0,NA
"Lesotho",2020-02-04,0,0,NA
"Lesotho",2020-02-05,0,0,NA
"Lesotho",2020-02-06,0,0,NA
"Lesotho",2020-02-07,0,0,NA
"Lesotho",2020-02-08,0,0,NA
"Lesotho",2020-02-09,0,0,NA
"Lesotho",2020-02-10,0,0,NA
"Lesotho",2020-02-11,0,0,NA
"Lesotho",2020-02-12,0,0,NA
"Lesotho",2020-02-13,0,0,NA
"Lesotho",2020-02-14,0,0,NA
"Lesotho",2020-02-15,0,0,NA
"Lesotho",2020-02-16,0,0,NA
"Lesotho",2020-02-17,0,0,NA
"Lesotho",2020-02-18,0,0,NA
"Lesotho",2020-02-19,0,0,NA
"Lesotho",2020-02-20,0,0,NA
"Lesotho",2020-02-21,0,0,NA
"Lesotho",2020-02-22,0,0,NA
"Lesotho",2020-02-23,0,0,NA
"Lesotho",2020-02-24,0,0,NA
"Lesotho",2020-02-25,0,0,NA
"Lesotho",2020-02-26,0,0,NA
"Lesotho",2020-02-27,0,0,NA
"Lesotho",2020-02-28,0,0,NA
"Lesotho",2020-02-29,0,0,NA
"Lesotho",2020-03-01,0,0,NA
"Lesotho",2020-03-02,0,0,NA
"Lesotho",2020-03-03,0,0,NA
"Lesotho",2020-03-04,0,0,NA
"Lesotho",2020-03-05,0,0,NA
"Lesotho",2020-03-06,0,0,NA
"Lesotho",2020-03-07,0,0,NA
"Lesotho",2020-03-08,0,0,NA
"Lesotho",2020-03-09,0,0,NA
"Lesotho",2020-03-10,0,0,NA
"Lesotho",2020-03-11,0,0,NA
"Lesotho",2020-03-12,0,0,NA
"Lesotho",2020-03-13,0,0,NA
"Lesotho",2020-03-14,0,0,NA
"Lesotho",2020-03-15,0,0,NA
"Lesotho",2020-03-16,0,0,NA
"Lesotho",2020-03-17,0,0,NA
"Lesotho",2020-03-18,0,0,NA
"Lesotho",2020-03-19,0,0,NA
"Lesotho",2020-03-20,0,0,NA
"Lesotho",2020-03-21,0,0,NA
"Lesotho",2020-03-22,0,0,NA
"Lesotho",2020-03-23,0,0,NA
"Lesotho",2020-03-24,0,0,NA
"Lesotho",2020-03-25,0,0,NA
"Lesotho",2020-03-26,0,0,NA
"Lesotho",2020-03-27,0,0,NA
"Lesotho",2020-03-28,0,0,NA
"Lesotho",2020-03-29,0,0,NA
"Lesotho",2020-03-30,0,0,NA
"Lesotho",2020-03-31,0,0,NA
"Lesotho",2020-04-01,0,0,NA
"Lesotho",2020-04-02,0,0,NA
"Lesotho",2020-04-03,0,0,NA
"Lesotho",2020-04-04,0,0,NA
"Lesotho",2020-04-05,0,0,NA
"Lesotho",2020-04-06,0,0,NA
"Lesotho",2020-04-07,0,0,NA
"Lesotho",2020-04-08,0,0,NA
"Lesotho",2020-04-09,0,0,NA
"Lesotho",2020-04-10,0,0,NA
"Lesotho",2020-04-11,0,0,NA
"Lesotho",2020-04-12,0,0,NA
"Lesotho",2020-04-13,0,0,NA
"Lesotho",2020-04-14,0,0,NA
"Lesotho",2020-04-15,0,0,NA
"Lesotho",2020-04-16,0,0,NA
"Lesotho",2020-04-17,0,0,NA
"Lesotho",2020-04-18,0,0,NA
"Lesotho",2020-04-19,0,0,NA
"Lesotho",2020-04-20,0,0,NA
"Lesotho",2020-04-21,0,0,NA
"Lesotho",2020-04-22,0,0,NA
"Lesotho",2020-04-23,0,0,NA
"Lesotho",2020-04-24,0,0,NA
"Lesotho",2020-04-25,0,0,NA
"Lesotho",2020-04-26,0,0,NA
"Lesotho",2020-04-27,0,0,NA
"Lesotho",2020-04-28,0,0,NA
"Lesotho",2020-04-29,0,0,NA
"Lesotho",2020-04-30,0,0,NA
"Lesotho",2020-05-01,0,0,NA
"Lesotho",2020-05-02,0,0,NA
"Lesotho",2020-05-03,0,0,NA
"Lesotho",2020-05-04,0,0,NA
"Lesotho",2020-05-05,0,0,NA
"Lesotho",2020-05-06,0,0,NA
"Lesotho",2020-05-07,0,0,NA
"Lesotho",2020-05-08,0,0,NA
"Lesotho",2020-05-09,0,0,NA
"Lesotho",2020-05-10,0,0,NA
"Lesotho",2020-05-11,0,0,NA
"Lesotho",2020-05-12,0,0,NA
"Lesotho",2020-05-13,1,0,0
"Lesotho",2020-05-14,0,0,0
"Lesotho",2020-05-15,0,0,0
"Lesotho",2020-05-16,0,0,0
"Lesotho",2020-05-17,0,0,0
"Lesotho",2020-05-18,0,0,0
"Lesotho",2020-05-19,0,0,0
"Lesotho",2020-05-20,0,0,0
"Lesotho",2020-05-21,0,0,0
"Lesotho",2020-05-22,1,0,0
"Lesotho",2020-05-23,0,0,0
"Lesotho",2020-05-24,0,0,0
"Lesotho",2020-05-25,0,0,0
"Lesotho",2020-05-26,0,0,0
"Lesotho",2020-05-27,0,0,0
"Lesotho",2020-05-28,0,0,0
"Lesotho",2020-05-29,0,0,0
"Lesotho",2020-05-30,0,0,0
"Lesotho",2020-05-31,0,0,0
"Lesotho",2020-06-01,0,0,0
"Lesotho",2020-06-02,0,0,0
"Lesotho",2020-06-03,2,0,0
"Lesotho",2020-06-04,0,0,0
"Lesotho",2020-06-05,0,0,0
"Lesotho",2020-06-06,0,0,0
"Lesotho",2020-06-07,0,0,0
"Lesotho",2020-06-08,0,0,0
"Lesotho",2020-06-09,0,0,0
"Lesotho",2020-06-10,0,0,0
"Lesotho",2020-06-11,0,0,0
"Lesotho",2020-06-12,0,0,0
"Lesotho",2020-06-13,0,0,0
"Lesotho",2020-06-14,0,0,0
"Lesotho",2020-06-15,0,0,0
"Lesotho",2020-06-16,0,0,0
"Lesotho",2020-06-17,0,0,0
"Lesotho",2020-06-18,0,0,0
"Lesotho",2020-06-19,0,0,0
"Lesotho",2020-06-20,0,0,0
"Lesotho",2020-06-21,0,0,0
"Lesotho",2020-06-22,8,0,0
"Lesotho",2020-06-23,5,0,0
"Lesotho",2020-06-24,0,0,0
"Lesotho",2020-06-25,0,0,0
"Lesotho",2020-06-26,7,0,0
"Lesotho",2020-06-27,0,0,0
"Lesotho",2020-06-28,3,0,0
"Lesotho",2020-06-29,0,0,0
"Lesotho",2020-06-30,0,0,0
"Lesotho",2020-07-01,8,0,0
"Lesotho",2020-07-02,0,0,0
"Lesotho",2020-07-03,0,0,0
"Lesotho",2020-07-04,0,0,0
"Malawi",2020-01-22,0,0,NA
"Malawi",2020-01-23,0,0,NA
"Malawi",2020-01-24,0,0,NA
"Malawi",2020-01-25,0,0,NA
"Malawi",2020-01-26,0,0,NA
"Malawi",2020-01-27,0,0,NA
"Malawi",2020-01-28,0,0,NA
"Malawi",2020-01-29,0,0,NA
"Malawi",2020-01-30,0,0,NA
"Malawi",2020-01-31,0,0,NA
"Malawi",2020-02-01,0,0,NA
"Malawi",2020-02-02,0,0,NA
"Malawi",2020-02-03,0,0,NA
"Malawi",2020-02-04,0,0,NA
"Malawi",2020-02-05,0,0,NA
"Malawi",2020-02-06,0,0,NA
"Malawi",2020-02-07,0,0,NA
"Malawi",2020-02-08,0,0,NA
"Malawi",2020-02-09,0,0,NA
"Malawi",2020-02-10,0,0,NA
"Malawi",2020-02-11,0,0,NA
"Malawi",2020-02-12,0,0,NA
"Malawi",2020-02-13,0,0,NA
